Price(VND),Acreage,Area,Bedrooms,Floors,Parking,Address,District
240000000000.0,300,16x19m,5,5.0,0,"Đường Lê Thánh Tôn, Phường Sài Gòn, Hồ Chí Minh",Phường Sài Gòn
330000000000.0,810,20x42m,3,1.0,0,"Đường Lê Văn Sỹ, Phường Nhiêu Lộc, Hồ Chí Minh",Phường Nhiêu Lộc
600000000000.0,1100,20x55m,4,3.0,0,"Đường Nguyễn Du, Phường Bến Thành, Hồ Chí Minh",Phường Bến Thành
150000000000.0,290,15x25m,2,2.0,0,"Đường Võ Thị Sáu, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
23000000000.0,1200,30x40m,2,2.0,0,"Đường Cộng Hòa, Phường Bảy Hiền, Hồ Chí Minh",Phường Bảy Hiền
370000000000.0,320,16x20m,3,3.0,0,"Đường Calmette, Phường Sài Gòn, Hồ Chí Minh",Phường Sài Gòn
55000000000.0,132,8x17m,8,8.0,0,"Đường Ngô Tất Tố, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Phường Thạnh Mỹ Tây
16000000000.0,70,10x7m,5,5.0,0,"Đường Bùi Hữu Nghĩa, Phường Gia Định, Hồ Chí Minh",Phường Gia Định
31000000000.0,100,8x14m,10,8.0,0,"Đường Nguyễn Văn Trỗi, Phường Phú Nhuận, Hồ Chí Minh",Phường Phú Nhuận
20500000000.0,378,"8,4x45m",3,1.0,1,"Đường Thái Thị Giữ, Xã Bà Điểm, Hồ Chí Minh",Xã Bà Điểm
95000000000.0,6000,50x120m,4,2.0,1,"Đường Thanh Niên, Xã Xuân Thới Sơn, Hồ Chí Minh",Xã Xuân Thới Sơn
390000000000.0,677,21x33m,4,3.0,0,"Đường Nguyễn Thị Diệu, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
110000000000.0,200,"8,16x25m",10,5.0,0,"Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
4800000000.0,28,"4,0x11m",3,2.0,0,"Đường Bùi Đình Túy, Phường Bình Thạnh, Hồ Chí Minh",Phường Bình Thạnh
9300000000.0,59,5x12m,4,3.0,0,"Đường Lê Quang Định, Phường Gia Định, Hồ Chí Minh",Phường Gia Định
11500000000.0,63,4x16m,4,5.0,0,"Đường Nơ Trang Long, Phường Bình Lợi Trung, Hồ Chí Minh",Phường Bình Lợi Trung
11900000000.0,100,5x20m,5,4.0,0,"Đường Lê Cơ, Phường An Lạc, Hồ Chí Minh",Phường An Lạc
18000000000.0,170,10x17m,5,3.0,1,"Đường An Dương Vương, Phường An Lạc, Hồ Chí Minh",Phường An Lạc
24000000000.0,64,4x16m,3,3.0,1,"Đường Trần Huy Liệu, Phường Phú Nhuận, Hồ Chí Minh",Phường Phú Nhuận
11900000000.0,64,4x16m,5,5.0,1,"Đường Nguyễn Văn Công, Phường Hạnh Thông, Hồ Chí Minh",Phường Hạnh Thông
7400000000.0,65,4x16m,4,4.0,0,"Đường Cư Xá Lữ Gia, Phường Tân Hòa, Hồ Chí Minh",Phường Tân Hòa
42500000000.0,86,"4,2x20m",21,6.0,1,"Đường Nguyễn Thái Học, Phường Cầu Ông Lãnh, Hồ Chí Minh",Phường Cầu Ông Lãnh
4550000000.0,42,7x6m,2,2.0,0,"Đường Nguyễn Sỹ Sách, Phường Tân Sơn, Hồ Chí Minh",Phường Tân Sơn
55000000000.0,206,"10,75x20m",3,3.0,0,"Đường Hát Giang, Phường Tân Sơn Hòa, Hồ Chí Minh",Phường Tân Sơn Hòa
65000000000.0,81,8x15m,5,5.0,0,"Đường Cao Thắng, Phường Vườn Lài, Hồ Chí Minh",Phường Vườn Lài
75000000000.0,124,"8,3x18m",5,5.0,0,"Đường Nguyễn Văn Thủ, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
179000000000.0,153,8x20m,9,9.0,1,"Đường Pasteur, Phường Sài Gòn, Hồ Chí Minh",Phường Sài Gòn
138000000000.0,300,12x25m,7,7.0,1,"Đường Nguyễn Thông, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
69000000000.0,280,15x20m,10,7.0,0,"Đường Cao Thắng, Phường Hòa Hưng, Hồ Chí Minh",Phường Hòa Hưng
59000000000.0,240,10x24m,9,7.0,0,"Đường Lê Văn Sỹ, Phường Nhiêu Lộc, Hồ Chí Minh",Phường Nhiêu Lộc
49000000000.0,152,8x19m,6,6.0,0,"Đường Nguyễn Đình Chiểu, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
5500000000.0,72,4x18m,6,2.0,1,"Đường Lê Văn Lương, Xã Nhà Bè, Hồ Chí Minh",Xã Nhà Bè
2990000000.0,43,4x10m,2,1.0,0,"Đường Lê Văn Lương, Xã Nhà Bè, Hồ Chí Minh",Xã Nhà Bè
92000000000.0,365,9x30m,7,7.0,1,"Đường Cửu Long, Phường Tân Sơn Hòa, Hồ Chí Minh",Phường Tân Sơn Hòa
9500000000.0,60,"4,2x14,5m",4,4.0,0,"Đường Đỗ Xuân Hợp, Phường Phước Long, Hồ Chí Minh",Phường Phước Long
85000000000.0,480,8x60m,55,7.0,1,"Đường Tân Cảng, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Phường Thạnh Mỹ Tây
86000000000.0,350,12x33m,6,6.0,1,"Đường Lê Văn Duyệt, Phường Gia Định, Hồ Chí Minh",Phường Gia Định
55000000000.0,150,6x25m,7,7.0,1,"Đường Nguyễn Thiện Thuật, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
